GEOPOINT,GEOID,NAME,NAMELSAD,STUSAB
32.7885605367; -91.4567382424,22123,West Carroll,West Carroll Parish,LA
40.2738181301; -80.5764203083,54009,Brooke,Brooke County,WV
40.478908401; -93.0161267941,29171,Putnam,Putnam County,MO
39.7817096805; -86.1384716709,18097,Marion,Marion County,IN
18.0071198462; -66.7971292026,72059,Guayanilla,Guayanilla Municipio,PR
31.5094655501; -103.102425237,48475,Ward,Ward County,TX
42.7705180974; -111.562215274,16029,Caribou,Caribou County,ID
33.4664224376; -92.1624016443,5011,Bradley,Bradley County,AR
48.7668933923; -116.462903445,16021,Boundary,Boundary County,ID
43.2079070509; -98.5878938604,46023,Charles Mix,Charles Mix County,SD
32.7362765372; -94.9414845344,48459,Upshur,Upshur County,TX
35.2247812957; -95.1166498604,40061,Haskell,Haskell County,OK
38.5120104943; -78.8757516437,51165,Rockingham,Rockingham County,VA
36.434424701; -81.5005211955,37009,Ashe,Ashe County,NC
38.1849543372; -77.6560473238,51177,Spotsylvania,Spotsylvania County,VA
42.7669066527; -109.914705901,56035,Sublette,Sublette County,WY
27.7610624301; -99.3315653042,48479,Webb,Webb County,TX
35.2021778635; -82.7983001279,37175,Transylvania,Transylvania County,NC
26.1513412689; -97.4529680071,48061,Cameron,Cameron County,TX
35.664936694; -75.6852333134,37055,Dare,Dare County,NC
27.9062278359; -82.346916153,12057,Hillsborough,Hillsborough County,FL
42.5449323085; -101.118576892,31031,Cherry,Cherry County,NE
36.6803610038; -78.3626942045,51117,Mecklenburg,Mecklenburg County,VA
40.1763796295; -98.0471849897,31129,Nuckolls,Nuckolls County,NE
40.7715207081; -84.1057794323,39003,Allen,Allen County,OH
41.9103521337; -81.250939242,39085,Lake,Lake County,OH
37.5023005833; -94.3471107747,29011,Barton,Barton County,MO
45.151770859; -86.0384960523,26089,Leelanau,Leelanau County,MI
40.8759049641; -102.351791195,8115,Sedgwick,Sedgwick County,CO
42.4557108473; -98.7838447084,31089,Holt,Holt County,NE
34.4643197803; -84.4656390578,13227,Pickens,Pickens County,GA
32.7545579307; -88.6411594239,28069,Kemper,Kemper County,MS
39.0855054887; -90.3565282985,17083,Jersey,Jersey County,IL
28.5144162588; -81.3234735281,12095,Orange,Orange County,FL
33.6268085539; -96.6777253881,48181,Grayson,Grayson County,TX
33.6146250309; -101.299958451,48107,Crosby,Crosby County,TX
18.0559662881; -65.8633023194,72151,Yabucoa,Yabucoa Municipio,PR
36.730988911; -98.3239781797,40003,Alfalfa,Alfalfa County,OK
37.2442933233; -83.2214816028,21193,Perry,Perry County,KY
41.3307142217; -94.0155619459,19121,Madison,Madison County,IA
31.2547645833; -94.6118485462,48005,Angelina,Angelina County,TX
41.4041459264; -89.5286557577,17011,Bureau,Bureau County,IL
40.3886187334; -86.8940974128,18157,Tippecanoe,Tippecanoe County,IN
42.9436523662; -84.6015165533,26037,Clinton,Clinton County,MI
17.9530033162; -66.3866938243,72133,Santa Isabel,Santa Isabel Municipio,PR
36.4177312434; -77.3968212099,37131,Northampton,Northampton County,NC
44.3586271805; -103.792224515,46081,Lawrence,Lawrence County,SD
39.5864284092; -105.250466793,8059,Jefferson,Jefferson County,CO
37.2377526609; -96.8374891769,20035,Cowley,Cowley County,KS
37.4817063904; -80.2113954217,51045,Craig,Craig County,VA
42.3513950817; -71.9077266261,25027,Worcester,Worcester County,MA
36.0753604529; -119.815502709,6031,Kings,Kings County,CA
38.3588724365; -97.0968903589,20115,Marion,Marion County,KS
34.8340257189; -83.990719955,13291,Union,Union County,GA
30.2677218795; -92.814120915,22053,Jefferson Davis,Jefferson Davis Parish,LA
39.6278256159; -106.695299259,8037,Eagle,Eagle County,CO
36.7470190976; -93.455980976,29209,Stone,Stone County,MO
46.326849228; -116.750277131,16069,Nez Perce,Nez Perce County,ID
33.4139430365; -84.4941911259,13113,Fayette,Fayette County,GA
56.2936264549; -132.12922494,2275,Wrangell,Wrangell City and Borough,AK
37.8857349436; -95.3013889295,20001,Allen,Allen County,KS
41.6850925934; -95.31021134,19165,Shelby,Shelby County,IA
39.0850981086; -74.8499770137,34009,Cape May,Cape May County,NJ
42.9193314277; -72.2511752725,33005,Cheshire,Cheshire County,NH
38.5347120041; -76.5305644689,24009,Calvert,Calvert County,MD
35.6886045558; -106.865950923,35043,Sandoval,Sandoval County,NM
36.7152338187; -95.9043661801,40147,Washington,Washington County,OK
28.7425901306; -100.314514171,48323,Maverick,Maverick County,TX
34.9915361594; -78.3713906105,37163,Sampson,Sampson County,NC
36.5129154065; -82.3041428598,47163,Sullivan,Sullivan County,TN
44.5886036159; -104.569929444,56011,Crook,Crook County,WY
39.6199484364; -85.4657611777,18139,Rush,Rush County,IN
39.1368391026; -93.2018512461,29195,Saline,Saline County,MO
38.9941571642; -76.5675970619,24003,Anne Arundel,Anne Arundel County,MD
38.4947373058; -80.421873068,54101,Webster,Webster County,WV
